original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound,Englishness,length
ProShares Ultra Health Care,proshares ultra health care,6.0,1.75,0,1,0,0.375,4,0.25,0,p602,18.892216790282305,24
BEGLEY DRUG CO,begley drug,5.0,1.5,1,0,0,0.4,2,0.5,1,b024,9.520050828270664,10
BEGLEY CO,begley,6.0,2.0,1,0,0,0.5,2,1.0,1,b024,6.4874417723153135,6
BEKINS CO,bekins,6.0,2.0,1,0,0,0.3333333333333333,1,1.0,1,b020,7.291895647414183,6
BEL FUSE INC,bel fuse,3.5,1.0,1,0,0,0.4285714285714285,2,0.0,1,f020,-2.8733623422328916,7
VERIZON COMMUNICATIONS INC,verizon communications,10.5,4.0,0,0,1,0.4285714285714285,3,0.0,1,c050,23.785055564647983,21
BCE Inc.,bce,3.0,1.0,1,0,0,0.3333333333333333,1,0.0,1,b200,5.160056639417524,3
BELL INDUSTRIES,bell industries,7.0,2.0,1,0,0,0.3571428571428571,2,0.0,1,i530,13.517824011873689,14
Belo Corp.,belo,4.0,2.0,1,0,0,0.5,1,1.0,1,b040,1.2315156402137777,4
BELL PETROLEUM SERVICES INC,bell petroleum services,7.0,2.6666666666666665,1,0,0,0.3809523809523809,5,0.0,0,p036,19.88712618434964,21
BELLSOUTH CORP,bellsouth,9.0,2.0,1,0,0,0.3333333333333333,2,1.0,1,b042,14.224722471010956,9
BEMIS CO INC,bemis,5.0,2.0,1,0,0,0.4,1,0.0,1,b050,1.2241534487125174,5
